,Sport,League,Conference,Division,Team
,Basketball,NBA,Eastern Conference,Atlantic Division,Boston Celtics
,Basketball,NBA,Eastern Conference,Atlantic Division,Brooklyn Nets
,Basketball,NBA,Eastern Conference,Atlantic Division,New York Knicks
,Basketball,NBA,Eastern Conference,Atlantic Division,Philadelphia 76ers
,Basketball,NBA,Eastern Conference,Atlantic Division,Toronto Raptors
,Basketball,NBA,Eastern Conference,Central Division,Chicago Bulls
,Basketball,NBA,Eastern Conference,Central Division,Cleveland Cavaliers
,Basketball,NBA,Eastern Conference,Central Division,Detroit Pistons
,Basketball,NBA,Eastern Conference,Central Division,Indiana Pacers
,Basketball,NBA,Eastern Conference,Central Division,Milwaukee Bucks
,Basketball,NBA,Eastern Conference,Southeast Division,Atlanta Hawks
,Basketball,NBA,Eastern Conference,Southeast Division,Charlotte Hornets
,Basketball,NBA,Eastern Conference,Southeast Division,Miami Heat
,Basketball,NBA,Eastern Conference,Southeast Division,Orlando Magic
,Basketball,NBA,Eastern Conference,Southeast Division,Washington Wizards
,Basketball,NBA,Western Conference,Northwest Division,Denver Nuggets
,Basketball,NBA,Western Conference,Northwest Division,Minnesota Timberwolves
,Basketball,NBA,Western Conference,Northwest Division,Oklahoma City Thunder
,Basketball,NBA,Western Conference,Northwest Division,Portland Trail Blazers
,Basketball,NBA,Western Conference,Northwest Division,Utah Jazz
,Basketball,NBA,Western Conference,Pacific Division,Golden State Warriors
,Basketball,NBA,Western Conference,Pacific Division,Los Angeles Clippers
,Basketball,NBA,Western Conference,Pacific Division,Los Angeles Lakers
,Basketball,NBA,Western Conference,Pacific Division,Phoenix Suns
,Basketball,NBA,Western Conference,Pacific Division,Sacramento Kings
,Basketball,NBA,Western Conference,Southwest Division,Dallas Mavericks
,Basketball,NBA,Western Conference,Southwest Division,Houston Rockets
,Basketball,NBA,Western Conference,Southwest Division,Memphis Grizzlies
,Basketball,NBA,Western Conference,Southwest Division,New Orleans Pelicans
,Basketball,NBA,Western Conference,Southwest Division,San Antonio Spurs